Name                                         Milliseconds  Name           
-------------------------------------------  ------------  ---------------
O Pulso                                      199131        MPEG audio file
Nem 5 Minutos Guardados                      245995        MPEG audio file
Dirty Little Thing                           237844        MPEG audio file
So Por Amor                                  236591        MPEG audio file
Here I Go Again                              233874        MPEG audio file
The Deeper The Love                          262791        MPEG audio file
Seu Balancê                                 219454        MPEG audio file
Sapopemba e Maxambomba                       245394        MPEG audio file
The Man Behind the Curtain                   2615990       Protected MPEG-
The Dundies                                  1253541       Protected MPEG-
Christmas Party                              1282115       Protected MPEG-
Michael's Birthday                           1237791       Protected MPEG-
Diwali                                       1279904       Protected MPEG-
Phyllis's Wedding                            1271521       Protected MPEG-
How to Stop an Exploding Man                 2687103       Protected MPEG-
The Long Patrol                              2925008       Protected MPEG-
The Educated Fool                            404767        MPEG audio file
Out Of Sight                                 143725        MPEG audio file
Get Up (I Feel Like Being A) Sex Machine     316551        MPEG audio file
It's Too Funky In Here                       239072        MPEG audio file
Too Young To Die                             365818        MPEG audio file
Blow Your Mind                               512339        MPEG audio file
Soul Education                               255477        MPEG audio file
King For A Day                               221544        MPEG audio file
Manifest Destiny                             382197        MPEG audio file
Sheer Heart Attack                           207386        MPEG audio file
All Dead, All Dead                           190119        MPEG audio file
Do You Feel Loved                            307539        MPEG audio file
If God Will Send His Angels                  322533        MPEG audio file
Last Night On Earth                          285753        MPEG audio file
Miami                                        293041        MPEG audio file
Evil Dick                                    239020        MPEG audio file
King In Crimson                              283167        MPEG audio file
Book Of Thel                                 494393        MPEG audio file
Machine Men                                  341655        MPEG audio file
Let Me Love You Baby                         175386        MPEG audio file
Leave My Girl Alone                          204721        MPEG audio file
Sangue Latino                                223033        MPEG audio file
